DATE,Price,Open,High ,Low,Volume,Change %
21-Aug-20,11529.20,11856.90,11877.40,11495.60,506.38K,-2.76%
22-Aug-20,11661.30,11529.20,11677.00,11382.10,433.98K,1.15%
23-Aug-20,11641.60,11661.10,11705.40,11520.80,377.33K,-0.17%
24-Aug-20,11753.50,11641.60,11824.60,11587.10,429.13K,0.96%
25-Aug-20,11324.80,11752.90,11766.90,11131.00,594.07K,-3.65%
26-Aug-20,11462.30,11324.90,11533.60,11254.60,513.06K,1.21%
27-Aug-20,11327.40,11462.30,11580.30,11135.30,560.59K,-1.18%
28-Aug-20,11527.40,11327.50,11539.00,11281.90,464.94K,1.77%
29-Aug-20,11468.10,11527.80,11576.80,11433.50,389.85K,-0.51%
30-Aug-20,11702.00,11468.10,11704.20,11462.60,409.36K,2.04%
31-Aug-20,11644.20,11701.10,11760.20,11563.80,496.14K,-0.49%
